element_type,element_id,x_coord,y_coord,connected_to,description
dot,0,0,0,,outer_top_left
dot,1,24,0,"0,2,4",outer_top_center
dot,2,48,0,,outer_top_right
dot,3,12,6,"4,7",middle_top_left
dot,4,24,6,"1,3,5",middle_top_center
dot,5,36,6,"4,8",middle_top_right
dot,6,0,12,"0,7,13",outer_left
dot,7,12,12,"3,6,10",middle_left
dot,8,36,12,"5,9,12",middle_right
dot,9,48,12,"2,8,15",outer_right
dot,10,12,18,"7,11",middle_bottom_left
dot,11,24,18,"10,12,14",middle_bottom_center
dot,12,36,18,"8,11",middle_bottom_right
dot,13,0,24,"6,14",outer_bottom_left
dot,14,24,24,"11,13,15",outer_bottom_center
dot,15,48,24,"9,14",outer_bottom_right
horizontal_line,h1,6,1,,outer_top_left_seg1
horizontal_line,h2,12,1,,outer_top_left_seg2
horizontal_line,h3,18,1,,outer_top_left_seg3
horizontal_line,h4,30,1,,outer_top_right_seg1
horizontal_line,h5,36,1,,outer_top_right_seg2
horizontal_line,h6,42,1,,outer_top_right_seg3
horizontal_line,h7,18,7,,middle_top_left
horizontal_line,h8,30,7,,middle_top_right
horizontal_line,h9,6,13,,middle_left
horizontal_line,h10,42,13,,middle_right
horizontal_line,h11,18,19,,middle_bottom_left
horizontal_line,h12,30,19,,middle_bottom_right
horizontal_line,h13,6,25,,outer_bottom_left_seg1
horizontal_line,h14,12,25,,outer_bottom_left_seg2
horizontal_line,h15,18,25,,outer_bottom_left_seg3
horizontal_line,h16,30,25,,outer_bottom_right_seg1
horizontal_line,h17,36,25,,outer_bottom_right_seg2
horizontal_line,h18,42,25,,outer_bottom_right_seg3
vertical_line,v1,2,3,,outer_left_top
vertical_line,v2,26,3,,outer_center_top
vertical_line,v3,50,3,,outer_right_top
vertical_line,v4,2,6,,outer_left_upper_middle
vertical_line,v5,50,6,,outer_right_upper_middle
vertical_line,v6,2,9,,outer_left_inner_top
vertical_line,v7,14,9,,inner_left_top
vertical_line,v8,38,9,,inner_right_top
vertical_line,v9,50,9,,outer_right_inner_top
vertical_line,v10,2,15,,outer_left_inner_bottom
vertical_line,v11,14,15,,inner_left_bottom
vertical_line,v12,38,15,,inner_right_bottom
vertical_line,v13,50,15,,outer_right_inner_bottom
vertical_line,v14,2,18,,outer_left_lower_middle
vertical_line,v15,50,18,,outer_right_lower_middle
vertical_line,v16,2,21,,outer_left_bottom
vertical_line,v17,26,21,,outer_center_bottom
vertical_line,v18,50,21,,outer_right_bottom
